Timestamp(ms),Motor_Speed(RPM),Commanded_PWM
0,1.2396694214876032,1
1,1.2396694214876032,1
2,1.2396694214876032,1
3,1.2396694214876032,1
4,1.2396694214876032,1
5,1.2396694214876032,1
6,1.2396694214876032,1
7,1.2396694214876032,1
8,1.2396694214876032,1
9,1.2396694214876032,1
10,1.2396694214876032,1
11,1.2396694214876032,1
12,1.2396694214876032,1
13,1.2396694214876032,1
14,1.2396694214876032,1
15,1.2396694214876032,1
16,1.2396694214876032,1
17,1.2396694214876032,1
18,1.2396694214876032,1
19,1.2396694214876032,1
20,1.2396694214876032,1
21,1.2396694214876032,1
22,1.2396694214876032,1
23,1.2396694214876032,1
24,1.2396694214876032,1
25,1.2396694214876032,1
26,1.2396694214876032,1
27,1.2396694214876032,1
28,1.2396694214876032,1
29,1.2396694214876032,1
30,1.2396694214876032,1
31,1.2396694214876032,1
32,1.2396694214876032,1
33,1.2396694214876032,1
34,1.2396694214876032,1
35,1.2396694214876032,1
36,1.2396694214876032,1
37,1.2396694214876032,1
38,1.2396694214876032,1
39,1.2396694214876032,1
40,1.2396694214876032,1
41,1.2396694214876032,1
42,1.2396694214876032,1
43,1.2396694214876032,1
44,1.2396694214876032,1
45,1.2396694214876032,1
46,1.2396694214876032,1
47,1.2396694214876032,1
48,1.2396694214876032,1
49,1.2396694214876032,1
50,1.2396694214876032,1
51,1.2396694214876032,1
52,1.2396694214876032,1
53,1.2396694214876032,1
54,1.2396694214876032,1
55,1.2396694214876032,1
56,1.2396694214876032,1
57,1.2396694214876032,1
58,1.2396694214876032,1
59,1.2396694214876032,1
60,1.2396694214876032,1
61,1.2396694214876032,1
62,1.2396694214876032,1
63,1.2396694214876032,1
64,1.2396694214876032,1
65,1.2396694214876032,1
66,1.2396694214876032,1
67,1.2396694214876032,1
68,1.2396694214876032,1
69,1.2396694214876032,1
70,1.2396694214876032,1
71,1.2396694214876032,1
72,1.2396694214876032,1
73,1.2396694214876032,1
74,1.2396694214876032,1
75,1.2396694214876032,1
76,1.2396694214876032,1
77,1.2396694214876032,1
78,1.2396694214876032,1
79,1.2396694214876032,1
80,1.2396694214876032,1
81,1.2396694214876032,1
82,1.2396694214876032,1
83,1.2396694214876032,1
84,1.2396694214876032,1
85,1.2396694214876032,1
86,1.2396694214876032,1
87,1.2396694214876032,1
88,1.2396694214876032,1
89,1.2396694214876032,1
90,1.2396694214876032,1
91,1.2396694214876032,1
92,1.2396694214876032,1
93,1.2396694214876032,1
94,1.2396694214876032,1
95,1.2396694214876032,1
96,1.2396694214876032,1
97,1.2396694214876032,1
98,1.2396694214876032,1
99,1.2396694214876032,1
100,1.2396694214876032,1
101,1.2396694214876032,1
102,1.2396694214876032,1
103,1.2396694214876032,1
104,1.2396694214876032,1
105,1.2396694214876032,1
106,1.2396694214876032,1
107,1.2396694214876032,1
108,1.2396694214876032,1
109,1.2396694214876032,1
110,1.2396694214876032,1
111,1.2396694214876032,1
112,1.2396694214876032,1
113,1.2396694214876032,1
114,1.2396694214876032,1
115,1.2396694214876032,1
116,1.2396694214876032,1
117,1.2396694214876032,1
118,1.2396694214876032,1
119,1.2396694214876032,1
120,1.2396694214876032,1
121,1.2396694214876032,1
122,1.2396694214876032,1
123,1.2396694214876032,1
124,1.2396694214876032,1
125,1.2396694214876032,1
126,1.2396694214876032,1
127,1.2396694214876032,1
128,1.2396694214876032,1
129,1.2396694214876032,1
130,1.2396694214876032,1
131,1.2396694214876032,1
132,1.2396694214876032,1
133,1.2396694214876032,1
134,1.2396694214876032,1
135,1.2396694214876032,1
136,1.2396694214876032,1
137,1.2396694214876032,1
138,1.2396694214876032,1
139,1.2396694214876032,1
140,1.2396694214876032,1
141,1.2396694214876032,1
142,1.2396694214876032,1
143,1.2396694214876032,1
144,1.2396694214876032,1
145,1.2396694214876032,1
146,1.2396694214876032,1
147,1.2396694214876032,1
148,1.2396694214876032,1
149,1.2396694214876032,1
150,1.2396694214876032,1
151,1.2396694214876032,1
152,1.2396694214876032,1
153,1.2396694214876032,1
154,1.2396694214876032,1
155,1.2396694214876032,1
156,1.2396694214876032,1
157,1.2396694214876032,1
158,1.2396694214876032,1
159,1.2396694214876032,1
160,1.2396694214876032,1
161,1.2396694214876032,1
162,1.2396694214876032,1
163,1.2396694214876032,1
164,1.2396694214876032,1
165,1.2396694214876032,1
166,1.2396694214876032,1
167,1.2396694214876032,1
168,1.2396694214876032,1
169,1.2396694214876032,1
170,1.2396694214876032,1
171,1.2396694214876032,1
172,1.2396694214876032,1
173,1.2396694214876032,1
174,1.2396694214876032,1
175,1.2396694214876032,1
176,1.2396694214876032,1
177,1.2396694214876032,1
178,1.2396694214876032,1
179,1.2396694214876032,1
180,1.2396694214876032,1
181,1.2396694214876032,1
182,1.2396694214876032,1
183,1.2396694214876032,1
184,1.2396694214876032,1
185,1.2396694214876032,1
186,1.2396694214876032,1
187,1.2396694214876032,1
188,1.2396694214876032,1
189,1.2396694214876032,1
190,1.2396694214876032,1
191,1.2396694214876032,1
192,1.2396694214876032,1
193,1.2396694214876032,1
194,1.2396694214876032,1
195,1.2396694214876032,1
196,1.2396694214876032,1
197,1.2396694214876032,1
198,1.2396694214876032,1
199,1.2396694214876032,1
200,1.2396694214876032,1
201,1.2396694214876032,1
202,1.2396694214876032,1
203,1.2396694214876032,1
204,1.2396694214876032,1
205,1.2396694214876032,1
206,1.2396694214876032,1
207,1.2396694214876032,1
208,1.2396694214876032,1
209,1.2396694214876032,1
210,1.2396694214876032,1
211,1.2396694214876032,1
212,1.2396694214876032,1
213,1.2396694214876032,1
214,1.2396694214876032,1
215,1.2396694214876032,1
216,1.2396694214876032,1
217,1.2396694214876032,1
218,1.2396694214876032,1
219,1.2396694214876032,1
220,1.2396694214876032,1
221,1.2396694214876032,1
222,1.2396694214876032,1
223,1.2396694214876032,1
224,1.2396694214876032,1
225,1.2396694214876032,1
226,1.2396694214876032,1
227,1.2396694214876032,1
228,1.2396694214876032,1
229,1.2396694214876032,1
230,1.2396694214876032,1
231,1.2396694214876032,1
232,1.2396694214876032,1
233,1.2396694214876032,1
